Date,Price,Volume,Opening,Min,Max,ticker,settlement,instrument_type,currency,variacion_diaria
2024-11-05 00:00:00-03:00,5.95,110502.03,5.8,5.8,6.0,NVDAD,A-24HS,CEDEARS,USD,0.8474576271186418
2024-11-06 00:00:00-03:00,6.25,400985.94,6.1,6.0,6.26,NVDAD,A-24HS,CEDEARS,USD,5.042016806722693
2024-11-07 00:00:00-03:00,6.33,197137.41,6.23,6.19,6.36,NVDAD,A-24HS,CEDEARS,USD,1.2799999999999923
2024-11-08 00:00:00-03:00,6.31,171375.84,6.4,6.22,6.6,NVDAD,A-24HS,CEDEARS,USD,-0.3159557661927437
2024-11-11 00:00:00-03:00,6.29,177547.62,6.4,6.1,6.6,NVDAD,A-24HS,CEDEARS,USD,-0.31695721077653616
2024-11-12 00:00:00-03:00,6.38,223442.41,6.3,6.05,6.41,NVDAD,A-24HS,CEDEARS,USD,1.4308426073131875
2024-11-13 00:00:00-03:00,6.39,185577.12,6.43,6.27,6.54,NVDAD,A-24HS,CEDEARS,USD,0.15673981191222097
2024-11-14 00:00:00-03:00,6.39,122769.48,6.39,6.32,6.51,NVDAD,A-24HS,CEDEARS,USD,0.0
2024-11-15 00:00:00-03:00,6.27,234861.12,6.39,6.11,6.46,NVDAD,A-24HS,CEDEARS,USD,-1.8779342723004744
2024-11-19 00:00:00-03:00,6.35,426598.12,6.35,6.0,6.44,NVDAD,A-24HS,CEDEARS,USD,1.2759170653907415
2024-11-20 00:00:00-03:00,6.27,323031.31,6.5,6.18,6.58,NVDAD,A-24HS,CEDEARS,USD,-1.2598425196850394
2024-11-21 00:00:00-03:00,6.33,321206.0,6.35,6.13,6.59,NVDAD,A-24HS,CEDEARS,USD,0.9569377990430672
2024-11-22 00:00:00-03:00,6.15,184109.19,6.4,6.06,6.42,NVDAD,A-24HS,CEDEARS,USD,-2.843601895734593
2024-11-25 00:00:00-03:00,5.99,282416.0,6.16,5.81,6.28,NVDAD,A-24HS,CEDEARS,USD,-2.601626016260161
2024-11-26 00:00:00-03:00,5.9,262757.28,6.09,5.85,6.13,NVDAD,A-24HS,CEDEARS,USD,-1.5025041736226985
2024-11-27 00:00:00-03:00,5.78,279634.56,5.95,5.65,5.95,NVDAD,A-24HS,CEDEARS,USD,-2.033898305084747
2024-11-28 00:00:00-03:00,5.83,85214.11,5.89,5.77,5.9,NVDAD,A-24HS,CEDEARS,USD,0.865051903114189
2024-11-29 00:00:00-03:00,5.96,130641.9,5.83,5.83,5.98,NVDAD,A-24HS,CEDEARS,USD,2.2298456260720467
2024-12-02 00:00:00-03:00,5.95,215834.27,5.96,5.89,6.02,NVDAD,A-24HS,CEDEARS,USD,-0.1677852348993203
2024-12-03 00:00:00-03:00,5.99,139447.34,6.09,5.85,6.15,NVDAD,A-24HS,CEDEARS,USD,0.6722689075630228
2024-12-04 00:00:00-03:00,6.21,213997.41,6.01,6.01,6.22,NVDAD,A-24HS,CEDEARS,USD,3.6727879799665963
2024-12-05 00:00:00-03:00,6.21,156065.44,6.29,6.16,6.29,NVDAD,A-24HS,CEDEARS,USD,0.0
2024-12-06 00:00:00-03:00,6.12,133360.09,6.18,6.04,6.28,NVDAD,A-24HS,CEDEARS,USD,-1.449275362318836
2024-12-09 00:00:00-03:00,5.93,150485.98,6.0,5.82,6.0,NVDAD,A-24HS,CEDEARS,USD,-3.104575163398704
2024-12-10 00:00:00-03:00,5.76,140690.97,5.95,5.75,6.02,NVDAD,A-24HS,CEDEARS,USD,-2.866779089376048
2024-12-11 00:00:00-03:00,5.97,176464.73,6.0,5.76,6.0,NVDAD,A-24HS,CEDEARS,USD,3.645833333333326
2024-12-12 00:00:00-03:00,5.86,153156.61,6.03,5.76,6.03,NVDAD,A-24HS,CEDEARS,USD,-1.8425460636515845
2024-12-13 00:00:00-03:00,5.77,177044.61,5.9,5.63,5.98,NVDAD,A-24HS,CEDEARS,USD,-1.5358361774744145
2024-12-16 00:00:00-03:00,5.63,160392.2,5.77,5.51,5.84,NVDAD,A-24HS,CEDEARS,USD,-2.426343154246091
2024-12-17 00:00:00-03:00,5.54,169158.41,5.78,5.33,5.78,NVDAD,A-24HS,CEDEARS,USD,-1.5985790408525768
2024-12-18 00:00:00-03:00,5.71,173368.53,5.62,5.62,5.81,NVDAD,A-24HS,CEDEARS,USD,3.068592057761732
