nombre_empresa,fecha_cotizacion,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas
AAPLD,2023-12-28 03:00:00,1.05,"0",,"0",
AAPLD,2023-12-29 03:00:00,-0.35,"0",,"0",
AAPLD,2024-01-02 03:00:00,"-0.10",9,-4.614,6,2.2226
AAPLD,2024-01-03 03:00:00,"-0.20",10,-5.243,12,5.8712
AAPLD,2024-01-04 03:00:00,"0.15",8,-4.7588,5,1.9421
AAPLD,2024-01-05 03:00:00,"-0.20",9,-4.4207,6,3.5364
AAPLD,2024-01-08 03:00:00,"0.25",15,-7.1846,8,4.9633
AAPLD,2024-01-09 03:00:00,-0.25,10,-4.9215,3,1.0322
AAPLD,2024-01-10 03:00:00,-0.25,18,-9.3851,11,5.0105
AAPLD,2024-01-11 03:00:00,"-0.60",16,-9.5683,17,8.8567
AAPLD,2024-01-12 03:00:00,"-0.10",18,-9.888,11,5.5432
AAPLD,2024-01-15 03:00:00,"0.10",3,-2.0307,5,2.2293
AAPLD,2024-01-16 03:00:00,"-0.20",7,-2.2334,25,13.2108
AAPLD,2024-01-17 03:00:00,"-0.40",12,-6.9645,10,4.6495
AAPLD,2024-01-18 03:00:00,"0.65",15,-6.7877,5,2.587
AAPLD,2024-01-19 03:00:00,"0.30",8,-3.4494,11,3.9504
AAPLD,2024-01-22 03:00:00,"0.05",7,-4.2676,9,4.2641
AAPLD,2024-01-23 03:00:00,-0.25,8,-4.0796,18,9.1768
AAPLD,2024-01-24 03:00:00,"0.20",13,-6.0889,20,9.4701
AAPLD,2024-01-25 03:00:00,-0.25,9,-3.4692,9,3.6128
AAPLD,2024-01-26 03:00:00,-0.35,12,-7.3682,6,3.0123
AAPLD,2024-01-29 03:00:00,"-0.10",16,-10.1757,7,3.098
AAPLD,2024-01-30 03:00:00,-0.27,10,-4.988,7,2.0681
AAPLD,2024-01-31 03:00:00,-0.02,16,-8.4103,10,5.4071
AAPLD,2024-02-01 03:00:00,-0.12,6,-2.6565,5,2.2898
AAPLD,2024-02-02 03:00:00,-0.15,13,-5.4187,9,4.652
AAPLD,2024-02-05 03:00:00,"0.25",13,-7.5955,11,7.5165
AAPLD,2024-02-06 03:00:00,-0.15,18,-9.9526,12,5.1341
AAPLD,2024-02-07 03:00:00,-0.26,19,-11.2641,19,9.5377
AAPLD,2024-02-08 03:00:00,"-0.20",4,-2.2802,14,7.3311
AAPLD,2024-02-09 03:00:00,"0.10",14,-5.3802,14,7.1612
AAPLD,2024-02-14 03:00:00,-0.21,15,-7.7783,13,7.5327
AAPLD,2024-02-15 03:00:00,"0.09",14,-8.5731,13,5.9948
AAPLD,2024-02-16 03:00:00,-0.15,21,-11.0887,12,6.1036
AAPLD,2024-02-19 03:00:00,-0.39,5,-2.5514,4,1.3447
AAPLD,2024-02-20 03:00:00,-0.16,17,-11.2136,15,7.3468
AAPLD,2024-02-21 03:00:00,-0.15,11,-5.5803,15,7.087
AAPLD,2024-02-22 03:00:00,"0.38",13,-6.145,12,5.4312
AAPLD,2024-02-23 03:00:00,"0.03",7,-4.2086,12,5.5191
AAPLD,2024-02-26 03:00:00,-0.15,16,-7.7595,15,7.535
AAPLD,2024-02-27 03:00:00,-0.14,12,-6.2638,13,5.2565
AAPLD,2024-02-28 03:00:00,-0.09,13,-5.599,14,6.1831
AAPLD,2024-02-29 03:00:00,-0.15,7,-4.2935,8,3.1051
AAPLD,2024-03-01 03:00:00,-0.33,12,-6.5535,12,6.3719
AAPLD,2024-03-04 03:00:00,-0.62,16,-8.7302,17,7.6095
AAPLD,2024-03-05 03:00:00,-0.01,7,-3.5482,10,4.5194
AAPLD,2024-03-06 03:00:00,-0.12,12,-6.7595,40,23.0923
AAPLD,2024-03-07 03:00:00,"0.18",8,-4.6745,15,6.9975
AAPLD,2024-03-08 03:00:00,"0.21",18,-8.8513,15,7.6956
AAPLD,2024-03-11 03:00:00,-0.24,16,-9.0869,19,12.6565
AAPLD,2024-03-12 03:00:00,"0.25",16,-9.6528,17,5.1368
AAPLD,2024-03-13 03:00:00,-0.11,12,-5.8163,5,1.6384
AAPLD,2024-03-14 03:00:00,"0.04",13,-7.8816,11,4.6718
AAPLD,2024-03-15 03:00:00,-0.13,28,-14.9835,14,6.4898
AAPLD,2024-03-18 03:00:00,-0.23,18,-10.7028,11,6.2361
AAPLD,2024-03-19 03:00:00,"0.03",15,-6.167,13,4.2341
AAPLD,2024-03-20 03:00:00,"0.10",22,-11.8969,16,8.6172
AAPLD,2024-03-21 03:00:00,"-0.30",21,-9.9915,18,9.4169
AAPLD,2024-03-22 03:00:00,-0.03,31,-17.9402,10,5.6015
AAPLD,2024-03-25 03:00:00,"0.04",19,-10.6618,11,5.1355
AAPLD,2024-03-26 03:00:00,-0.09,24,-13.5439,10,5.1852
AAPLD,2024-03-27 03:00:00,"0.11",16,-9.2099,15,6.5592
AAPLD,2024-04-03 03:00:00,-0.06,17,-10.2064,13,6.6924
AAPLD,2024-04-04 03:00:00,-0.19,17,-11.0185,10,5.0003
AAPLD,2024-04-05 03:00:00,-0.05,25,-13.219,17,8.5207
AAPLD,2024-04-08 03:00:00,-0.07,22,-11.7492,23,9.3773
AAPLD,2024-04-09 03:00:00,-0.06,19,-11.1352,11,3.5517
AAPLD,2024-04-10 03:00:00,"0.03",16,-7.734,13,5.5324
AAPLD,2024-04-11 03:00:00,"0.24",16,-9.038,13,5.9219
AAPLD,2024-04-12 03:00:00,-0.11,11,-5.1293,6,2.0746
AAPLD,2024-04-15 03:00:00,"-0.20",16,-10.433,4,1.4591
AAPLD,2024-04-16 03:00:00,-0.12,20,-11.8211,8,3.1049
AAPLD,2024-04-17 03:00:00,"-0.10",16,-10.2725,12,6.493
AAPLD,2024-04-18 03:00:00,"0.06",27,-15.105,15,7.7221
AAPLD,2024-04-19 03:00:00,-0.38,27,-13.7198,9,4.1448
AAPLD,2024-04-22 03:00:00,"0.08",15,-8.4777,5,2.2994
AAPLD,2024-04-23 03:00:00,"0.21",15,-7.7533,19,11.1306
AAPLD,2024-04-24 03:00:00,"0.06",19,-10.0011,9,4.5795
AAPLD,2024-04-25 03:00:00,-0.16,20,-11.0991,6,2.3396
AAPLD,2024-04-26 03:00:00,-0.12,16,-6.6706,5,1.1297
AAPLD,2024-04-29 03:00:00,-0.02,8,-5.0149,8,3.0479
AAPLD,2024-04-30 03:00:00,-0.25,28,-16.8906,15,8.3515
AAPLD,2024-05-02 03:00:00,"0.09",16,-8.3522,4,1.659
AAPLD,2024-05-03 03:00:00,"0.07",6,-4.7299,11,5.9009
AAPLD,2024-05-06 03:00:00,-0.11,9,-5.6209,6,3.6223
AAPLD,2024-05-07 03:00:00,-0.06,27,-15.1523,13,5.7376
AAPLD,2024-05-08 03:00:00,-0.15,14,-8.0001,3,2.2193
AAPLD,2024-05-09 03:00:00,-0.05,4,-1.9078,7,2.292
AAPLD,2024-05-10 03:00:00,-0.09,7,-3.5429,11,6.043
AAPLD,2024-05-13 03:00:00,"0.07",15,-9.6548,14,4.9101
AAPLD,2024-05-14 03:00:00,-0.05,10,-5.2551,10,5.5926
AAPLD,2024-05-15 03:00:00,"0.15",13,-8.0674,11,5.1779
AAPLD,2024-05-16 03:00:00,-0.12,7,-4.4472,5,2.0002
AAPLD,2024-05-17 03:00:00,-0.03,8,-4.8079,11,5.1713
AAPLD,2024-05-20 03:00:00,"0.00",11,-7.4389,7,2.9088
AAPLD,2024-05-21 03:00:00,-0.02,18,-9.5366,9,3.7693
AAPLD,2024-05-22 03:00:00,-0.15,7,-5.3908,10,4.8792
AAPLD,2024-05-23 03:00:00,-0.21,12,-6.7464,9,2.8116
AAPLD,2024-05-24 03:00:00,"0.19",13,-7.7232,17,8.509
AAPLD,2024-05-27 03:00:00,"0.14",1,-0.7184,"0",
AAPLD,2024-05-28 03:00:00,-0.11,17,-11.0127,8,2.7781
AAPLD,2024-05-29 03:00:00,-0.12,28,-17.5054,20,10.4827
AAPLD,2024-05-30 03:00:00,"0.00",26,-14.7645,15,7.8651
AAPLD,2024-05-31 03:00:00,"0.02",16,-8.3836,10,4.1004
AAPLD,2024-06-03 03:00:00,"0.00",9,-4.2507,9,4.0634
AAPLD,2024-06-04 03:00:00,"0.01",22,-10.6331,10,4.4039
AAPLD,2024-06-05 03:00:00,"0.17",14,-7.2531,5,1.3072
AAPLD,2024-06-06 03:00:00,-0.11,11,-5.7861,7,3.3874
AAPLD,2024-06-07 03:00:00,"0.10",20,-10.0979,8,4.7589
AAPLD,2024-06-10 03:00:00,-0.25,14,-8.1261,15,6.0502
AAPLD,2024-06-11 03:00:00,"0.55",21,-12.6107,13,5.0885
AAPLD,2024-06-12 03:00:00,"0.20",13,-5.8755,14,6.5718
AAPLD,2024-06-13 03:00:00,-0.05,8,-4.6293,13,6.1458
AAPLD,2024-06-14 03:00:00,-0.25,8,-4.6105,6,2.2366
AAPLD,2024-06-18 03:00:00,"0.00",13,-8.3958,10,5.0493
AAPLD,2024-06-19 03:00:00,"0.10",4,-2.297,8,4.1126
AAPLD,2024-06-24 03:00:00,-0.15,15,-7.9218,8,4.9843
AAPLD,2024-06-25 03:00:00,"-0.10",17,-10.7272,10,4.4006
AAPLD,2024-06-26 03:00:00,-0.05,15,-8.4304,16,7.864
AAPLD,2024-06-27 03:00:00,"-0.10",8,-3.7229,11,3.7325
AAPLD,2024-06-28 03:00:00,"-0.30",14,-6.9846,14,7.2828
AAPLD,2024-07-01 03:00:00,"0.00",14,-6.8836,9,3.6104
AAPLD,2024-07-02 03:00:00,"0.10",11,-5.7387,5,2.1127
AAPLD,2024-07-03 03:00:00,"0.20",9,-3.6891,6,3.3432
AAPLD,2024-07-04 03:00:00,"0.15",4,-1.5785,14,8.4649
